set	sheet	pos	row	col	id	topic
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	0	0	0	ffct-33482	how many official constellations
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	1	0	1	ffct-33483	which galaxy the Sun belongs to
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	2	0	2	ffct-33484	name for an exploding star
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	3	0	3	ffct-33490	how many planets are in the solar system
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	4	1	0	ffct-33491	when was Pluto discovered
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	5	1	1	ffct-33492	who discovered Pluto
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	6	1	2	ffct-33498	when was Ceres discovered
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	7	1	3	ffct-33502	what is a meteoroid
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	8	2	0	ffct-33507	what was Pluto's place before reclassification
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	9	2	1	ffct-33509	what is the lowest layer of the atmosphere
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	10	2	2	ffct-33512	what is the most abundant element in Earth's crust
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	11	2	3	ffct-33513	most abundant metal in Earth's crust
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	12	3	0	ffct-33514	what is Earth's circumference
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	13	3	1	ffct-33517	hill landform
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	14	3	2	ffct-33524	how many active volcanoes in the Philippines
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1068.png	15	3	3	ffct-33526	when did Mount Pinatubo erupt
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	0	0	0	ffct-33527	what date was the climactic Pinatubo eruption
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	1	0	1	ffct-33528	how big was the Pinatubo eruption ranked
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	2	0	2	ffct-33531	which agency monitors volcanoes and earthquakes in the Philippines
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	3	0	3	ffct-33532	how many PAGASA tropical cyclone wind signals
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	4	1	0	ffct-33533	highest PAGASA storm signal number
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	5	1	1	ffct-33534	wind speed of Signal No. 1
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	6	1	2	ffct-33535	wind speed of Signal No. 2
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	7	1	3	ffct-33536	wind speed of Signal No. 3
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	8	2	0	ffct-33537	wind speed of Signal No. 4
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	9	2	1	ffct-33538	wind speed of Signal No. 5
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	10	2	2	ffct-33539	how many typhoons enter the Philippines per year
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	11	2	3	ffct-33540	how many typhoons make landfall in the Philippines per year
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	12	3	0	ffct-33543	what is the hottest month in the Philippines
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	13	3	1	ffct-33544	what is the coolest month in the Philippines
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	14	3	2	ffct-33545	when is the dry season in the Philippines
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1069.png	15	3	3	ffct-33546	when is the rainy season in the Philippines
webp	/Users/luis/Code/hiraia-illu-rework/packages/images/review/sheets/webp/webp-1070.png	0	0	0	ffct-33547	what does PAGASA stand for
