sheet,id,pos,confirmed,evidence
regen-0130.png,ffct-33598,5,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0130.png,ffct-33599,6,yes,"VERIFIED at 2x: full month grid 1-31 printed in the calendar cells, large and fully legible, inside the artwork (caption strip excluded from crop)."
regen-0130.png,ffct-33601,8,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0130.png,ffct-33602,9,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0130.png,ffct-33614,13,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0130.png,ffct-33617,15,yes,VERIFIED: the numeral string '100' built from stacked calendar pages fills the tile; glyph shapes are unambiguous digits.
regen-0041.png,ffct-18952,1,yes,"VERIFIED: two-line 'PORTLAND / CEMENT' in bold caps across the sack, between rules; flip-pad beside it is correctly blank."
regen-0041.png,ffct-18984,10,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0041.png,ffct-18985,11,yes,"VERIFIED: giant serif 'S' on the element card with '16' below it, dominating the tile."
regen-0041.png,ffct-18986,12,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0041.png,ffct-18987,13,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0041.png,ffct-18988,14,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0041.png,ffct-18989,15,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0084.png,ffct-26312,0,yes,"VERIFIED at 8x on native pixels: two nameplate bands on the machine rim carry glyph clusters on a baseline (dark-on-light left cluster, light-on-dark right cluster) - garbled faux-lettering, not hatching. Illegible pseudo-text rather than legible words."
regen-0084.png,ffct-26333,6,yes,VERIFIED: heavy serif '365' fills the calendar page at tile centre.
regen-0084.png,ffct-26339,9,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0084.png,ffct-26341,10,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
regen-0046.png,ffct-19453,0,yes,VERIFIED: the whole artwork is the ornate 3-D numeral string '3.14159' plus trailing dots; nothing else in the tile.
regen-0046.png,ffct-19459,3,unchecked,"Not spot-checked in this pass. Claim self-rated high confidence by the re-audit; the 18 of 18 high-confidence claims that were checked all confirmed, so this one is carried forward as likely-true but unverified."
