id,verdict,note
ffct-19874,off-topic,missing neon sign
ffct-19953,off-topic,no copper wires shown
ffct-20432,off-topic,blank sign no Boracay
ffct-21134,off-topic,unexplained flag
balut-eating-roadside-scene,off-topic,missing roadside cart
conductor-insulator,off-topic,only insulator shown
eagle-hunting-monkey,off-topic,monkey riding eagle
emergency-hotline-numbers,off-topic,no hotline numbers
energy-transformation-pe-ke,off-topic,chemical not PE-KE
ffct-04376,text,baked-in labels
ffct-06038,off-topic,missing batch number
ffct-06861,off-topic,missing fish
ffct-21724,text,baked-in 60% number
ffct-22945,off-topic,lightbulb inside blender
ffct-26470,scary,child pressing awl to eye
ffct-19013,off-topic,octopus in grid
ffct-19144,off-topic,mole animal not unit
ffct-19464,off-topic,four apples not paired
ffct-35326,text,baked-in 4.6 billion text
ffct-35351,text,magnitude numbers 6/7 visible
ffct-35840,text,baked-in 56% text
ffct-35912,text,baked-in number 1 sign
ffct-36185,scary,shark fins in floodwater
ffct-32445,off-topic,flag shows circle not Signal 1
ffct-32448,off-topic,flag symbol not number 4
ffct-33056,off-topic,Uranus depicted as Jupiter
ffct-33060,off-topic,Neptune depicted as Saturn
ffct-33092,off-topic,Neptune system shown as Saturn
ffct-33238,off-topic,Neptune depicted as Saturn
ffct-30991,off-topic,rocket instead of starlight
ffct-31632,text,unwanted text 'mausim'
ffct-33816,quality,missing typhoon labels
ffct-33818,quality,missing numbers 1 to 5
ffct-33820,quality,missing number 1
ffct-33824,quality,missing year 2013
ffct-33827,quality,missing label 1
ffct-33838,quality,missing number 9 badge
ffct-33880,quality,missing step numbers
ffct-33905,quality,missing scale numbers
ffct-33906,quality,missing Beaufort numbers
ffct-33915,quality,missing layer labels
ffct-33938,quality,missing year 1610
ffct-33984,quality,missing June label
ffct-33985,quality,missing December label
ffct-33986,quality,missing March label
ffct-33987,quality,missing month and dates
ffct-33988,quality,missing June December labels
ffct-33989,quality,missing March September labels
ffct-33995,quality,missing Tropic label
ffct-33996,quality,missing Tropic label
ffct-34005,quality,missing Roman numerals
ffct-34007,quality,missing PHIVOLCS label
ffct-34008,quality,missing magnitude number
ffct-34010,quality,missing Category 1 label
ffct-34012,quality,missing 3 4 5 labels
ffct-34018,quality,missing numbers 1 to 5
ffct-34019,quality,missing number 5
ffct-34020,quality,missing number 1
ffct-34021,quality,missing 185 km/h text
ffct-34045,quality,missing 2 m/s label
ffct-34046,quality,missing 100 km label
ffct-34073,quality,missing Em label
ffct-34104,quality,missing year 1991
ffct-34141,quality,missing number -1.46
ffct-34180,quality,missing 300000 calendar
ffct-34181,quality,missing ERA label
ffct-34205,quality,missing year 1610
ffct-34208,quality,missing year 1655
ffct-34251,quality,missing date 07-07-07
ffct-34258,quality,missing years 1648 1653
ffct-34265,quality,missing year 1931
ffct-34285,quality,missing year on ribbon
ffct-34314,quality,missing year 1935
ffct-34389,off-topic,depicts Jupiter not Neptune
ffct-34395,off-topic,depicts Saturn not Uranus
ffct-34475,quality,blank calendar missing date
ffct-34477,quality,blank calendar missing date
ffct-34478,quality,missing number 2 medal
ffct-34495,quality,blank page missing 365
ffct-34498,quality,blank calendar missing Feb 29
ffct-34504,quality,missing letter labels
ffct-34506,quality,missing number 29
ffct-34572,off-topic,depicts Saturn not Neptune
ffct-34590,quality,missing 4.6 billion label
ffct-34711,quality,missing PhilSA letters
ffct-34732,off-topic,depicts eye not UV rays
ffct-34817,quality,missing typhoon name tag
ffct-28798,off-topic,unlabeled EM spectrum staircase
ffct-29025,off-topic,no protected area sign
ffct-29336,off-topic,name tag lacks Yolanda text
ffct-29339,off-topic,missing typhoon speech bubbles
