stratum,id,slug,rating,reason
exact,sampaguita-g4,sampaguita,harmful,"shows a dense conical panicle with lanceolate leaves (a lilac-type plant), not Jasminum sambac's few broad-petalled white flowers on ovate leaves — teaches the wrong picture of the national flower"
exact,meter-stick-g3,meter-stick,acceptable,"shows a short school ruler with cm ticks, not a one-meter stick, but the right measuring tool and purpose"
exact,philippine-bulbul-g6,philippine-bulbul,acceptable,"a crested bulbul-type songbird (looks like red-whiskered bulbul, bold white cheek patch) rather than the plain brown Philippine bulbul, but right bird family and reads as a small forest perching bird"
exact,sabong-arena-rooster-g4,sabong-arena-rooster,acceptable,"roosters are shown, but the picture's subject is a cockfighting arena and crowd, not the comb/crowing the fact describes"
exact,seesaw-unequal-kids-balance-g5,seesaw-unequal-kids-balance,acceptable,"right scene (two kids on a seesaw) but both sit at equal distance and it tilts, so it shows the imbalance rather than the heavier-child-closer-to-center rule"
exact,almires-mortar-g4,almires-mortar,good,"a mortar bowl with pestle resting in it, the exact object the fact defines"
exact,cleaner-wrasse-symbiosis-g6,cleaner-wrasse-symbiosis,good,small striped wrasse picking at the open mouth of a large grouper — exactly the mutualism described
exact,drum-g4,drum,good,snare drum with drumsticks striking the stretched head — exactly the fact's instrument
exact,float-sink-materials-test-basin-g4,float-sink-materials-test-basin,good,basin of water with some objects floating at the surface and others resting on the bottom — the float/sink test the fact describes
exact,germ-spread-disease-transmission-g5,germ-spread-disease-transmission,good,"person coughing germs toward others, matching spread by coughs/sneezes"
exact,giant-clam-open-mantle-g6,giant-clam-open-mantle,good,"giant clam gaping open with its wavy mantle exposed, the fact's subject"
exact,halo-halo-dessert-g5,halo-halo-dessert,good,"tall glass of shaved ice over beans, jelly and milk — the layered mixture the fact is about"
exact,jolens-marble-shooting-g4,jolens-marble-shooting,good,hand flicking a marble into a row of marbles — exactly the force-transfer example in the fact
exact,kabkab-cassava-cracker-g5,kabkab-cassava-cracker,good,"large round puffed cracker with blistered, radiating texture — exactly the fried kabkab described"
exact,langit-lupa-chase-g4,langit-lupa-chase,good,kids running/climbing stairs and railings to elevated safe spots — exactly the langit-lupa chase the fact describes
exact,legume-root-nodules-nitrogen-g8,legume-root-nodules-nitrogen,good,"bean plant with root nodules plus a magnified nodule inset, exactly the fact"
exact,lightbulb-g5,lightbulb,good,incandescent bulb with a visible coiled filament inside — exactly the glowing-filament fact
exact,meteor-shower-night-g6,meteor-shower-night,good,night sky full of light streaks over a campsite — the many streaks the fact describes
exact,philippine-pangolin-g6,philippine-pangolin,good,"scale-covered pangolin curled into a ball, matching both claims in the fact"
exact,plant-needs-light-covered-leaf-g5,plant-needs-light-covered-leaf,good,potted plant with one leaf clipped under a dark card — exactly the covered-leaf light experiment described
exact,plantsa-flat-iron-g5,plantsa-flat-iron,good,"line drawing of a clothes flat iron, exactly the object the fact describes"
exact,ramp-loading-sacks-truck-g5,ramp-loading-sacks-truck,good,"worker pushing a sack up an inclined plank with an up-arrow — exactly the ramp/inclined-plane the fact describes (no truck, but the mechanism is the point)"
exact,sawali-bamboo-wall-weave-g5,sawali-bamboo-wall-weave,good,"shows a framed woven-bamboo mat with visible weave pattern, exactly the sawali described"
exact,snow-cap-mountain-rare-g6,snow-cap-mountain-rare,good,"tall peak bare/snowy above a treeline, showing cold high altitude as the fact states"
fuzzy-high,go-foods-pyramid-base-g4,food-pyramid-guide,harmful,"the base tier is labeled GRAINS and FATS SWEETS together, so the fact's 'bottom = eat most often' teaches that fats and sweets should be eaten most"
fuzzy-high,ball-socket-shoulder-hip-g6,ball-socket-joint-hip,acceptable,"abstract ball-in-socket cup with arrows radiating in several directions; conveys all-direction movement but shows no shoulder or hip anatomy, so a child must be told what it is"
fuzzy-high,dissolving-rate-temperature-g5,dissolving-rate-temperature-cups,acceptable,"two glasses with sugar cubes dissolving, but no hot/cold cue (no steam, ice or thermometer), so temperature contrast is absent though not misrepresented"
fuzzy-high,first-space-station-salyut-g7,space-station-orbit,acceptable,"a space station orbiting Earth, but a generic multi-module Mir/ISS-style craft rather than the single-module Salyut 1"
fuzzy-high,tongs-lever-g4,machine-lever,acceptable,"generic plank-on-fulcrum lever, not tongs, but correct concept and not misleading"
fuzzy-high,wound-white-blood-cells-clean-g5,white-blood-cells-fight-germs,acceptable,"shows bacteria among blood cells but no wound or engulfing action; related, not misleading"
fuzzy-high,circulatory-system-name-g5,system-circulatory,good,human torso with heart and branching blood vessels — the circulatory system named in the fact
fuzzy-high,civet-musang-nocturnal-g5,civet-musang,good,"clearly a civet (masked face, spotted coat, banded tail); no night cue, but the animal the fact is about is plainly shown"
fuzzy-high,daing-split-dried-fish-g5,daing-split-fish,good,"a fish butterflied open flat showing backbone and ribs, exactly the split-for-drying step described"
fuzzy-high,eagle-nest-g5,eagle-on-nest,good,"eagle sitting in a large stick nest, matching the fact about eagles building big reused nests"
fuzzy-high,fwg-mangrove-coastal-protection-4957,mangrove-coastal-protection,good,mangrove stand with dense tangled prop roots standing in coastal water
fuzzy-high,garbage-clogged-floodway-g5,garbage-clogged-floodway-scene,good,trash bags and litter blocking a canal/culvert — the exact cause-of-flooding scene the fact describes
fuzzy-high,good-vs-slouch-posture-g5,good-vs-slouch-posture-sitting,good,"side-by-side upright vs slouched sitting figures, exactly the contrast stated"
fuzzy-high,inclined-plane-g5,machine-inclined-plane,good,person pushing a box up a ramp instead of lifting it — a direct depiction of the fact
fuzzy-high,inertia-seatbelt-g6,seatbelt-inertia-safety,good,side view of a car with a seatbelt harness and deceleration motion marks — matches the seatbelt/inertia example
fuzzy-high,katala-philippine-cockatoo-native-g4,philippine-cockatoo-katala,good,white crested cockatoo (a parrot) on a branch; crest is drawn taller than the real katala's but the organism is right
fuzzy-high,mount-mayon-perfect-cone-g5,mayon-volcano-cone,good,symmetrical smoking cone volcano over farmland — the near-perfect cone the fact is about
fuzzy-high,philippine-flying-fox-endangered-g6-2,philippine-flying-fox-fruit-bat,good,"fruit bat hanging from a forest branch; correct organism, though endangerment itself is not depicted"
fuzzy-high,rock-layers-age-g7,fossil-in-rock-layers,good,cutaway block of stacked sedimentary strata with different fossils in each layer — directly shows reading past life by layer order
fuzzy-high,tamaraw-dwarf-buffalo-g4,tamaraw-dwarf-buffalo,good,stocky buffalo with short V-shaped horns reads as a tamaraw; no carabao for scale but the animal is right
