# Tala card catalog — GENERATED by packages/tala/scripts/build-card-catalog.py. Do not edit.
# Card and quiz ids -> the student app's subcategories. Append-only: see the script.
T	acids-and-bases	Acids and Bases
T	amphibians	Amphibians
T	animal-adaptations	Animal Adaptations
T	animal-behavior	Animal Behaviors
T	arachnids	Arachnids
T	atmosphere	Atmosphere Layers
T	atoms	Atoms
T	birds	Birds
T	body	Body Parts
T	buoyancy	Buoyant Forces
T	carbon-cycle	Carbon Cycles
T	caves	Caves
T	cells	Cells
T	chemical-changes	Chemical Changes
T	chemical-reactions	Chemical Reactions
T	chemistry	Chemistry Topics
T	circuits	Circuits
T	circulatory-system	Circulatory Systems
T	climate	Climate Types
T	clouds	Clouds
T	conservation	Conservation Efforts
T	constellations	Constellations
T	coral-reefs	Coral Reefs
T	crustaceans	Crustaceans
T	crystals	Crystals
T	digestive-system	Digestive Systems
T	diseases	Diseases
T	earth	Earth Features
T	earth-science	Earth Science Topics
T	earthquakes	Earthquakes
T	eclipses	Eclipses
T	ecology	Ecology Topics
T	ecosystems	Ecosystems
T	electricity	Electrical Energy
T	elements	Elements
T	energy	Energy Forms
T	environment	Environmental Issues
T	erosion	Erosion Types
T	farm-animals	Farm Animals
T	fish	Fish
T	flowers	Flowers
T	food	Food Types
T	food-chains	Food Chains
T	forces	Forces
T	forces-and-motion	Forces and Motions
T	fossil-fuels	Fossil Fuels
T	fossils	Fossils
T	friction	Friction Forces
T	fruits	Fruits
T	fungi	Fungi
T	g10-earth_space-climate-adaptation-and-mitigation	Climate Adaptation and Mitigation
T	g10-earth_space-climate-factors-and-seasons	Climate Factors and Seasons
T	g10-earth_space-convergent-plate-boundaries	Convergent Plate Boundaries
T	g10-earth_space-divergent-and-transform-boundaries	Divergent and Transform Boundaries
T	g10-earth_space-earthquake-seismic-waves	Earthquake Seismic Waves
T	g10-earth_space-greenhouse-effect-and-global-warming	Greenhouse Effect and Global Warming
T	g10-earth_space-lithospheric-plates	Lithospheric Plates
T	g10-earth_space-natural-climate-change-causes	Natural Climate Change Causes
T	g10-earth_space-plate-boundary-types	Plate Boundary Types
T	g10-earth_space-plate-movement-evidence	Plate Movement Evidence
T	g10-earth_space-plate-movement-mechanisms	Plate Movement Mechanisms
T	g10-earth_space-volcano-earthquake-mountain-belts	Volcano Earthquake Mountain Belts
T	g10-force_motion_energy-electric-motors-and-generators	Electric Motors and Generators
T	g10-force_motion_energy-electric-power-systems	Electric Power Systems
T	g10-force_motion_energy-electromagnetic-waves	Electromagnetic Waves
T	g10-force_motion_energy-mirrors-and-lenses	Mirrors and Lenses
T	g10-force_motion_energy-momentum-impulse-and-collisions	Momentum, Impulse, and Collisions
T	g10-force_motion_energy-projectile-motion	Projectile Motion
T	g10-living_things-biodiversity-and-ecosystems	Biodiversity and Ecosystems
T	g10-living_things-biotechnology-applications	Biotechnology Applications
T	g10-living_things-endocrine-systems	Endocrine Systems
T	g10-living_things-evidence-of-evolution	Evidence of Evolution
T	g10-living_things-female-reproductive-systems	Female Reproductive Systems
T	g10-living_things-homeostasis-and-feedback-mechanisms	Homeostasis and Feedback Mechanisms
T	g10-living_things-mechanisms-of-evolution	Mechanisms of Evolution
T	g10-living_things-nervous-systems	Nervous Systems
T	g10-living_things-populations-and-carrying-capacity	Populations and Carrying Capacity
T	g10-living_things-protein-synthesis-and-mutations	Protein Synthesis and Mutations
T	g10-matter-acids-bases-and-salts	Acids, Bases, and Salts
T	g10-matter-balancing-chemical-equations	Balancing Chemical Equations
T	g10-matter-biomolecules	Biomolecules
T	g10-matter-chemical-changes	Chemical Changes
T	g10-matter-conservation-of-mass	Conservation of Mass
T	g10-matter-endothermic-and-exothermic-reactions	Endothermic and Exothermic Reactions
T	g10-matter-factors-affecting-reaction-rates	Factors Affecting Reaction Rates
T	g10-matter-gas-laws	Gas Laws
T	g10-matter-types-of-chemical-reactions	Types of Chemical Reactions
T	g3-earth_space-earth-materials	Earth Materials
T	g3-earth_space-land-and-water-forms	Land and Water Forms
T	g3-earth_space-movements-in-the-sky	Movements in the Sky
T	g3-earth_space-natural-and-human-made-things	Natural and Human-made Things
T	g3-earth_space-sky-objects	Sky Objects
T	g3-earth_space-sun-and-moon-effects	Sun and Moon Effects
T	g3-earth_space-waste-management	Waste Management
T	g3-earth_space-weather-conditions	Weather Conditions
T	g3-earth_space-weather-safety-and-activities	Weather Safety and Activities
T	g3-force_motion_energy-electricity-uses-and-safety	Electricity Uses and Safety
T	g3-force_motion_energy-factors-affecting-movement	Factors Affecting Movement
T	g3-force_motion_energy-harmful-effects	Harmful Effects
T	g3-force_motion_energy-heat-and-light-sources	Heat and Light Sources
T	g3-force_motion_energy-light-and-shadows	Light and Shadows
T	g3-force_motion_energy-measuring-motion	Measuring Motion
T	g3-force_motion_energy-position-and-movement	Position and Movement
T	g3-force_motion_energy-sound-sources-and-production	Sound Sources and Production
T	g3-force_motion_energy-ways-of-communicating	Ways of Communicating
T	g3-force_motion_energy-ways-to-move-objects	Ways to Move Objects
T	g3-living_things-animal-body-parts	Animal Body Parts
T	g3-living_things-basic-needs	Basic Needs
T	g3-living_things-environmental-protection	Environmental Protection
T	g3-living_things-human-sense-organs	Human Sense Organs
T	g3-living_things-inherited-traits	Inherited Traits
T	g3-living_things-living-and-non-living-things	Living and Non-living Things
T	g3-living_things-living-things-in-environments	Living Things in Environments
T	g3-living_things-plant-parts-and-functions	Plant Parts and Functions
T	g3-living_things-science-process-skills	Science Process Skills
T	g3-living_things-useful-plants-and-animals	Useful Plants and Animals
T	g3-matter-changes-in-solid-materials	Changes in Solid Materials
T	g3-matter-chemical-reaction-rates	Chemical Reaction Rates
T	g3-matter-harmful-changes-in-materials	Harmful Changes in Materials
T	g3-matter-metals-and-their-uses	Metals and Their Uses
T	g3-matter-physical-properties-of-materials	Physical Properties of Materials
T	g3-matter-safe-use-of-materials	Safe Use of Materials
T	g3-matter-science-process-skills	Science Process Skills
T	g3-matter-states-of-matter	States of Matter
T	g3-matter-temperature-changes	Temperature Changes
T	g3-matter-waste-materials	Waste Materials
T	g4-earth_space-environmental-issues-and-solutions	Environmental Issues and Solutions
T	g4-earth_space-science-process-skills	Science Process Skills
T	g4-earth_space-scientific-surveys	Scientific Surveys
T	g4-earth_space-soil-types-and-characteristics	Soil Types and Characteristics
T	g4-earth_space-suns-layers-and-energy	Sun's Layers and Energy
T	g4-earth_space-suns-movements-and-shadows	Sun's Movements and Shadows
T	g4-earth_space-water-cycle-processes	Water Cycle Processes
T	g4-earth_space-water-sources-and-uses	Water Sources and Uses
T	g4-earth_space-weather-charts-and-forecasting	Weather Charts and Forecasting
T	g4-earth_space-weather-instruments-and-components	Weather Instruments and Components
T	g4-earth_space-weather-safety-precautions	Weather Safety Precautions
T	g4-earth_space-weather-types-and-characteristics	Weather Types and Characteristics
T	g4-force_motion_energy-energy-travel	Energy Travel
T	g4-force_motion_energy-forces	Forces
T	g4-force_motion_energy-forms-of-energy	Forms of Energy
T	g4-force_motion_energy-heat-energy	Heat Energy
T	g4-force_motion_energy-light-and-sound	Light and Sound
