set,id,verdict,note,topic,sheet,row,col
png,acid-base-litmus,text,LITMUS TEST label,chemistry: acid base litmus,,3,1
png,active-vs-passive-transport,text,baked-in labels,biology: active vs passive transport,,1,3
png,adaptation-camouflage-stick-insect,garbled,incoherent shapes,biology: adaptation camouflage stick insect,,2,2
png,agung-gong,style,heavy digital shading,general: agung gong,,1,0
png,arrow-curved,style,heavy digital shading,general: arrow curved,,3,0
png,atomic-model-timeline,text,model labels baked in,chemistry: atomic model timeline,,1,1
png,baking-soda-box-spoon,text,BAKING SODA text,chemistry: baking soda box spoon,,2,2
png,balut-eating-roadside-scene,off-topic,not a roadside eating scene,general: balut eating roadside scene,,0,1
png,bamboo-band-musikong-bumbong,off-topic,"brass instruments, not bamboo",general: bamboo band musikong bumbong,,1,1
png,benefits-of-exercise-body,text,baked-in labels,biology: benefits of exercise body,,2,3
png,bodies-of-water-overview,text,labels baked in,earth-science: bodies of water overview,,3,2
png,bottle-cap-opener-lever,text,lever labels baked in,physics: bottle cap opener lever,,2,2
png,bottle-opener-lever-action,text,title text baked in,physics: bottle opener lever action,,2,3
png,candle-wax-melting-vs-burning,text,chemical burning label,chemistry: candle wax melting vs burning,,3,2
png,carinderia-eatery-scene,text,sign text baked in,general: carinderia eatery scene,,2,1
png,cellular-respiration-simple,text,labels baked in,flagged: cellular respiration simple,,3,1
png,changes-of-state-cycle,text,state labels baked in,chemistry: changes of state cycle,,2,3
png,chemical-equation-balanced,text,equation labels baked in,chemistry: chemical equation balanced,,0,1
png,circuit-series-parallel,text,series label baked in,physics: circuit series parallel,,1,3
png,climate-factors,text,labels baked in,flagged: climate factors,,3,2
png,combustion-of-candle-products,text,reaction labels baked in,chemistry: combustion of candle products,,2,1
png,complete-vs-incomplete-metamorphosis,text,labels baked in,flagged: complete vs incomplete metamorphosis,,3,3
png,conductor-insulator,text,diagram labels baked in,physics: conductor insulator,,2,2
png,continental-drift-pangaea,text,labels baked in,earth-science: continental drift pangaea,,3,1
png,damselfly,style,inverted black background,biology: damselfly,,2,1
png,diagram-litmus-acid-base,text,ACID label baked in,chemistry: diagram litmus acid base,,3,3
png,diagram-ph-scale-strip,text,Acidic Basic labels,chemistry: diagram ph scale strip,,0,1
png,dichotomous-key-branching,text,baked-in labels,flagged: dichotomous key branching,,0,1
png,dog-following-scent-trail,style,inverted black background,biology: dog following scent trail,,2,0
png,double-replacement-reaction,text,reaction labels baked in,chemistry: double replacement reaction,,2,2
png,eagle-hunting-monkey,style,inverted black background,biology: eagle hunting monkey,,2,0
png,eagle-on-nest,style,inverted black background,biology: eagle on nest,,2,1
png,earth-tilt-seasons,text,season labels baked in,earth-science: earth tilt seasons,,3,2
png,earth-vs-other-planets,text,baked-in text garbled,earth-science: earth vs other planets,,3,3
png,earthworm,style,inverted black background,biology: earthworm,,1,1
png,el-nino-la-nina,text,labels baked in,earth-science: el nino la nina,,1,3
png,electric-jeepney-charging,text,E-Jeep sign baked in,physics: electric jeepney charging,,3,1
png,element-symbols-first20,text,element symbols baked in,chemistry: element symbols first20,,1,0
png,em-spectrum,text,gibberish spectrum labels,physics: em spectrum,,1,2
png,emergency-hotline-numbers,text,title text baked in,general: emergency hotline numbers,,2,2
png,energy-forms-icons,text,gibberish icon labels,physics: energy forms icons,,1,3
png,energy-transformation-pe-ke,text,gibberish energy labels,physics: energy transformation pe ke,,2,0
png,exothermic-vs-endothermic,text,title words baked in,chemistry: exothermic vs endothermic,,2,0
png,fault-types,text,labels baked in,earth-science: fault types,,0,3
png,fennec-skip,off-topic,bird not fennec fox,biology: fennec skip,,1,2
png,fiesta-food-stalls,text,foreign text on signs,general: fiesta food stalls,,2,1
png,fiesta-parade-marching-scene,text,banner text baked in,general: fiesta parade marching scene,,3,1
png,fiesta-street-celebration-scene,text,title text baked in,general: fiesta street celebration scene,,3,3
png,food-from-farm-to-table,text,MARKET text baked in,flagged: food from farm to table,,1,2
png,food-groups-sorting-plate,text,baked-in GO/GROW/GLOW,biology: food groups sorting plate,,3,1
png,food-label-nutrition-facts,text,gibberish label text,general: food label nutrition facts,,0,2
png,food-making-in-chloroplast,text,baked-in Sugar/Chloroplast/Grain,biology: food making in chloroplast,,3,2
png,food-spoilage-fresh-vs-rotten,text,baked-in Vs text,biology: food spoilage fresh vs rotten,,0,0
png,foodweb-mangrove-ph,text,baked-in labels,flagged: foodweb mangrove ph,,2,2
png,foodweb-pond-freshwater,quality,hand photobombs image,flagged: foodweb pond freshwater,,2,3
png,foodweb-seagrass-meadow,text,baked-in labels,flagged: foodweb seagrass meadow,,3,2
png,force-pull-arrow,text,PULL word baked in,physics: force pull arrow,,0,2
png,fossil-fuel-formation,text,baked-in title text,earth-science: fossil fuel formation,,3,2
png,four-s-dengue-prevention,text,labels and title baked in,flagged: four s dengue prevention,,0,0
png,free-body-diagram,text,gibberish force labels,physics: free body diagram,,1,1
png,gas-exchange-in-leaf,text,labels baked in,flagged: gas exchange in leaf,,0,1
png,gas-laws-boyle,text,Boyle label baked in,chemistry: gas laws boyle,,3,3
png,global-warming-impacts,text,labels baked in,earth-science: global warming impacts,,3,0
png,go-grow-glow-food-groups,text,food labels baked in,flagged: go grow glow food groups,,0,2
png,guard-cells-stomata,text,baked-in text labels,biology: guard cells stomata,,2,0
png,halo-ring-around-moon,off-topic,shows ringed planet,earth-science: halo ring around moon,,1,3
png,healthy-snack-fruit-vs-chips,text,VS baked in,biology: healthy snack fruit vs chips,,0,3
png,healthy-snack-vs-sugary-drink,text,gibberish title text,general: healthy snack vs sugary drink,,3,2
png,homeostasis-feedback,text,diagram labels baked in,flagged: homeostasis feedback,,1,2
png,homologous-limbs-comparison,text,labels baked in,biology: homologous limbs comparison,,0,0
png,igneous-rock-formation,text,labels baked in,earth-science: igneous rock formation,,1,0
png,insect-in-net,off-topic,magnifier not net,biology: insect in net,,0,3
png,invisible-ink-calamansi,text,handwritten note baked in,chemistry: invisible ink calamansi,,2,1
png,invisible-ink-lemon-heat,text,handwritten note baked in,chemistry: invisible ink lemon heat,,2,2
png,kinetic-potential-energy,text,gibberish energy labels,physics: kinetic potential energy,,3,1
png,lewis-dot-structures,text,fake element labels,chemistry: lewis dot structures,,3,0
png,life-cycle-of-a-star,text,labels baked in,earth-science: life cycle of a star,,3,1
png,magnet-on-tile-streak,off-topic,shows rock not tile streak,physics: magnet on tile streak,,1,1
png,mangrove-nutrient-cycle-diagram,text,cycle labels baked in,flagged: mangrove nutrient cycle diagram,,2,1
png,metal-coin-sinking-in-water,text,$ symbol baked in,chemistry: metal coin sinking in water,,3,0
png,metals-nonmetals-metalloids,text,category labels baked in,chemistry: metals nonmetals metalloids,,3,2
png,minerals-and-their-uses,text,mineral labels baked in,earth-science: minerals and their uses,,0,3
png,mitosis-stages,text,stage labels baked in,biology: mitosis stages,,1,3
png,mold-bread-observation-jars,text,'FRESH' label baked in,biology: mold bread observation jars,,2,3
png,monsoon-habagat-amihan,text,wrong monsoon label,earth-science: monsoon habagat amihan,,1,2
png,mosquito-borne-disease-prevention,text,labels baked in,flagged: mosquito borne disease prevention,,2,2
png,mosquito-borne-illness-prevention,text,baked-in title text,biology: mosquito borne illness prevention,,3,3
png,moth-near-lamp,off-topic,concrete slab not moth,physics: moth near lamp,,0,0
png,mud-lobster-on-mound,style,heavy black border,biology: mud lobster on mound,,2,2
png,mutation-types,text,mutation table text,biology: mutation types,,3,3
png,myna-flock-roost,off-topic,single bird not flock roost,biology: myna flock roost,,0,2
png,nerve-cell-labeled-parts,quality,missing part labels,biology: nerve cell labeled parts,,3,3
png,neutralization-acid-base,text,flask labels baked in,chemistry: neutralization acid base,,1,3
png,newtons-second-law,text,garbled formula text,physics: newtons second law,,1,3
png,nitrogen-cycle,text,cycle labels baked in,flagged: nitrogen cycle,,3,0
png,nitrogen-cycle-ecosystem,text,cycle labels baked in,flagged: nitrogen cycle ecosystem,,2,3
png,nutrients-on-food-label,text,mostly fake text labels,biology: nutrients on food label,,3,0
png,organ-heart,style,heavy digital gray shading,biology: organ heart,,1,1
png,organ-kidneys,style,heavy digital gray shading,biology: organ kidneys,,1,2
png,organ-lungs,style,heavy digital gray shading,biology: organ lungs,,1,3
png,osmosis-turgid-vs-wilted,off-topic,shows beakers not plants,biology: osmosis turgid vs wilted,,2,1
png,overfishing-empty-net-scene,off-topic,net is full of fish,biology: overfishing empty net scene,,3,2
png,palawan-peacock-pheasant,off-topic,"looks like peacock, not peacock-pheasant",biology: palawan peacock pheasant,,0,3
png,panda-eating-bamboo,style,heavy black fill,biology: panda eating bamboo,,1,3
png,paper-airplane-distance-test,text,baked-in numbers,physics: paper airplane distance test,,0,2
png,particle-model-states,text,state labels baked in,chemistry: particle model states,,3,3
png,pedigree-chart,text,mislabeled Pegatree,biology: pedigree chart,,2,2
png,periodic-table-cell,text,cell labels baked in,chemistry: periodic table cell,,0,0
png,periodic-trends,text,trend labels baked in,chemistry: periodic trends,,0,2
png,ph-scale,text,pH word labels baked in,chemistry: ph scale,,0,3
png,philippine-landforms-overview,text,garbled place labels,earth-science: philippine landforms overview,,2,3
png,photosynthesis-detailed,text,process labels baked in,flagged: photosynthesis detailed,,3,1
png,photosynthesis-vs-combustion,text,gas labels baked in,flagged: photosynthesis vs combustion,,3,2
png,physical-vs-chemical-change-sort,text,chart labels baked in,chemistry: physical vs chemical change sort,,1,2
png,pista-balloon-darts-stall,text,fiesta sign text,general: pista balloon darts stall,,1,0
png,plant-fruit,style,heavy digital shading,biology: plant fruit,,2,3
png,projectile-motion,text,baked-in labels,physics: projectile motion,,1,2
png,proper-handwashing-steps,text,steps and words baked in,general: proper handwashing steps,,2,1
png,properties-of-materials-chart,text,property labels baked in,chemistry: properties of materials chart,,2,2
png,public-elementary-school-building-object,text,public school text,general: public elementary school building object,,3,3
png,reaction-rate-factors,text,title and labels baked in,chemistry: reaction rate factors,,0,1
png,recycling-drive-collection-scene,text,sign text baked in,earth-science: recycling drive collection scene,,1,1
png,reflex-arc,text,baked-in title,biology: reflex arc,,2,3
png,renewable-vs-nonrenewable-resources,text,Vs text baked in,earth-science: renewable vs nonrenewable resources,,1,3
png,respiration-cellular,text,molecule labels baked in,flagged: respiration cellular,,3,3
png,reversible-vs-irreversible-change,text,labels baked in,flagged: reversible vs irreversible change,,0,0
png,rice-growing-stages-paddy,text,garbled labels baked in,biology: rice growing stages paddy,,3,0
png,rock-cycle,text,rock cycle labels baked in,earth-science: rock cycle,,1,0
png,role-herbivore,text,baked-in text,biology: role herbivore,,2,2
png,rough-vs-smooth-ramp-roll,text,baked-in labels,physics: rough vs smooth ramp roll,,1,3
png,rust-formation-nail-jars,text,condition labels baked in,chemistry: rust formation nail jars,,3,0
png,rust-formation-stages-nail,text,stage labels baked in,chemistry: rust formation stages nail,,3,1
png,sari-sari-store,style,heavy window shading,general: sari sari store,,0,3
png,sari-sari-store-corner-scene,text,gibberish sign text,general: sari sari store corner scene,,0,0
png,sari-sari-store-front,text,product label text,general: sari sari store front,,0,1
png,sari-sari-store-tingi-measuring,text,tingi sugar labels,general: sari sari store tingi measuring,,0,2
png,sari-sari-with-videoke-scene,text,sari-store sign text,general: sari sari with videoke scene,,1,1
png,scramble-iced-drink,style,heavy gray wash,general: scramble iced drink,,3,1
png,seismic-waves,text,wave labels baked in,earth-science: seismic waves,,1,3
png,separating-sand-salt-water,text,labels baked in,flagged: separating sand salt water,,0,2
png,shadow-puppet-wall-light,off-topic,dog not shadow puppet,physics: shadow puppet wall light,,0,1
png,simple-carbon-cycle-diagram,text,cycle labels baked in,earth-science: simple carbon cycle diagram,,3,0
