set,id,verdict,note,topic
regen,balut-eating-roadside-scene,off-topic,missing roadside cart,"A smiling child sitting on a low wooden stool at a roadside food cart, holding a"
regen,conductor-insulator,off-topic,only insulator shown,A simple illustration of conductor insulator
regen,eagle-hunting-monkey,off-topic,monkey riding eagle,A simple illustration of eagle hunting monkey
regen,emergency-hotline-numbers,off-topic,no hotline numbers,A simple illustration of emergency hotline numbers
regen,energy-transformation-pe-ke,off-topic,chemical not PE-KE,A simple illustration of energy transformation pe ke
regen,ffct-04376,text,baked-in labels,"A large branching tree diagram, symbolizing how living things are grouped and cl"
regen,ffct-06038,off-topic,missing batch number,A single medicine box with a label showing a batch number. black-and-white hand-
regen,ffct-06861,off-topic,missing fish,A patch of seagrass underwater with a muddy cloud from a shoreline pipe and a ha
regen,ffct-19013,off-topic,octopus in grid,"A grid of 100 small squares, hand-drawn line art, black and white, clean single-"
regen,ffct-19144,off-topic,mole animal not unit,A small mole animal surrounded by a huge swarm of tiny particles too many to cou
regen,ffct-19464,off-topic,four apples not paired,"A simple illustration showing the numbers 2, 4, 6 grouped in pairs, and the numb"
regen,ffct-19874,off-topic,missing neon sign,A glowing fluorescent light bulb and a neon sign showing the glowing gas inside 
regen,ffct-19953,off-topic,no copper wires shown,A simple jeepney with glowing copper wires highlighted inside its electrical com
regen,ffct-20432,off-topic,blank sign no Boracay,"A beautiful beach with white sand, some coral pieces, and a sign saying Boracay,"
regen,ffct-21134,off-topic,unexplained flag,"A small pile of gunpowder with a spark igniting it, showing puffs of gas expandi"
regen,ffct-21724,text,baked-in 60% number,"A simple outline of a child's body with water droplets scattered inside, showing"
regen,ffct-22945,off-topic,lightbulb inside blender,"A simple illustration of a household appliance, like a blender or fan, with a la"
regen,ffct-26470,scary,child pressing awl to eye,A young boy in a leather workshop pressing a sharp awl against his eye while ano
regen,ffct-28798,off-topic,unlabeled EM spectrum staircase,"A simple staircase with seven steps labeled radio, microwave, infrared, visible "
regen,ffct-29025,off-topic,no protected area sign,"A sign that says Protected Area in a lush forest, with a happy endangered animal"
regen,ffct-29336,off-topic,name tag lacks Yolanda text,"A name tag or label that reads Yolanda with a large X crossed over it, next to a"
regen,ffct-29339,off-topic,missing typhoon speech bubbles,"A spinning storm in the sky with two speech bubbles, one saying 'typhoon' pointi"
regen,ffct-30991,off-topic,rocket instead of starlight,"Starlight traveling a very long distance through space to reach planet Earth, ha"
regen,ffct-31632,text,unwanted text 'mausim',"A simple illustration of a calendar with wind swirls blowing around it, showing "
regen,ffct-32445,off-topic,flag shows circle not Signal 1,"A simple warning flag labeled Signal No. 1 fluttering on a pole, with a small wi"
regen,ffct-32448,off-topic,flag symbol not number 4,"A warning flag labeled Signal No. 4 with intense swirling winds, a house with br"
regen,ffct-33056,off-topic,Uranus depicted as Jupiter,"The planet Uranus shown as a round sphere with a swirly atmosphere pattern, labe"
regen,ffct-33060,off-topic,Neptune depicted as Saturn,A spacecraft with a large dish antenna flying past the blue planet Neptune and i
regen,ffct-33092,off-topic,Neptune system shown as Saturn,A simple illustration of the solar system showing Neptune and a ring of icy rock
regen,ffct-33238,off-topic,Neptune depicted as Saturn,"A simple illustration of the planet Neptune with its faint rings, zooming in on "
regen,ffct-33818,off-topic,flags unnumbered; patterns instead of 1-5,"Five warning signal flags in a row numbered 1 through 5, each with a different p"
regen,ffct-33820,off-topic,flag blank; number 1 missing,"A simple illustration of a weather warning flag with the number 1 on it, gently "
regen,ffct-33825,text,large numeral 10 baked into artwork,"A simple illustration of a shiny, beautifully cut diamond gemstone with a number"
regen,ffct-33826,text,large numeral 1 baked into artwork,"A simple illustration of a soft, powdery lump of talc with a number 1 next to it"
regen,ffct-33879,text,year 1935 printed on calendar,A vintage calendar page showing the year 1935 with a small drawing of a Richter 
regen,ffct-34007,text,calendar shows legible numerals 1996,"A building labeled PHIVOLCS with a document or scale being presented, with a cal"
regen,ffct-34011,text,large numeral 5 baked into storm,"A swirling hurricane with a big number 5 inside, hand-drawn line art, black and "
regen,ffct-34024,text,"seismograph drums read ""7.2"" and ""VII""","Two seismograph papers side by side, one showing the number 7.2 and the other sh"
regen,ffct-34025,text,large carved letter X above rubble,A cracked ground and a collapsed building with the Roman numeral X floating abov
regen,ffct-34074,text,faux lettering on hull nameplate/bow,A vintage German exploration ship named Emden sailing on the ocean waves with a 
regen,ffct-34177,text,large baked-in numerals 252 in artwork,A big number 252 million with a cute dinosaur and a clock showing how long ago t
regen,ffct-34205,text,garbled faux weekday lettering in calendar header,"A calendar showing the year 1610 next to a telescope and a planet with moons, ha"
regen,ffct-34249,text,large numeral 7 rendered into artwork,"The number 7 surrounded by seven cute little globes with sparkles, hand-drawn li"
regen,ffct-34268,text,dozens of baked-in floating numerals,A close-up of a stone pyramid staircase with numbers 1 to 365 floating playfully
regen,ffct-34389,text,faux-text scribbles on calendar page header,"A sleepy, relaxed planet Neptune resting on a giant calendar page, with a snail "
regen,ffct-34413,text,large 3D numeral 12 baked in,Twelve tiny astronaut footprints in the moon dust with a number 12 floating abov
regen,ffct-34494,text,large 1440 baked into calendar page,"A large calendar page with the number 1440 written on it, surrounded by tiny clo"
regen,ffct-34496,text,large 366 baked into calendar page,A calendar page showing the number 366 with a little star next to it to show it 
regen,ffct-34499,text,large numeral 7 baked into page,"A simple calendar page showing the number 7 with seven small stars around it, ha"
regen,ffct-34500,text,numeral 12 baked into clock face,"A cute, simple clock face with the number 12 in the middle and 12 little dots ar"
regen,ffct-34502,text,168 baked into digital display,"A large, friendly alarm clock showing the number 168 on its digital screen, hand"
regen,ffct-34505,text,"""3600"" numerals baked into hourglass sand","A cute hourglass with the number 3600 floating inside it, hand-drawn line art, b"
regen,ffct-34569,text,"clock numerals plus ""24x60x60=86400"" banner",A simple illustration of a clock face showing 24 hours with the math 24 × 60 × 6
regen,ffct-34571,text,"large ""1,440"" printed below clock","A friendly cartoon clock face showing 12 hours with the number 1,440 written bel"
regen,ffct-34574,text,"big ""366"" and circled ""29"" on calendar","A simple calendar page showing February with the number 29 circled, the number 3"
regen,ffct-34923,off-topic,beach half missing; only melting snowman,A sunny beach scene next to a melting snowman under the same bright sky showing 
regen,ffct-35326,text,baked-in 4.6 billion text,A round planet Earth with a giant birthday cake on top showing the number 4.6 bi
regen,ffct-35351,text,magnitude numbers 6/7 visible,"A seismograph measuring earthquake waves with numbers showing magnitude 6 and 7,"
regen,ffct-35840,text,baked-in 56% text,"A simple digital hygrometer device with a small screen showing humidity numbers,"
regen,ffct-35912,text,baked-in number 1 sign,A simple illustration of a weather wind sock blowing strongly with a number 1 si
regen,ffct-36185,scary,shark fins in floodwater,"A flooded street with a warning sign, showing hidden sharp objects and dirty wat"
